Date,Volume,Volume_Change,Volume_Label
2021-05-22,113989186247.11111,2444470357.333359,1
2021-05-23,86352787200.0,-27636399047.111115,0
2021-05-24,108924114127.66434,22571326927.664337,1
2021-05-25,87992997205.33333,-20931116922.33101,0
2021-05-26,75075011441.77777,-12917985763.555557,0
2021-05-27,71587942584.88889,-3487068856.8888855,0
2021-05-28,70858555177.92334,-729387406.9655457,0
2021-05-29,78991545500.44444,8132990322.521103,1
2021-05-30,74745448304.78322,-4246097195.6612244,0
2021-05-31,84345634530.56445,9600186225.781235,1
2021-06-01,67803254598.466896,-16542379932.097557,0
2021-06-02,65099865344.0,-2703389254.466896,0
2021-06-03,58852534940.44444,-6247330403.555557,0
2021-06-04,67365715555.55556,8513180615.1111145,1
2021-06-05,60989365546.66666,-6376350008.888901,0
2021-06-06,54522810549.372696,-6466554997.293961,0
2021-06-07,51875832504.888885,-2646978044.4838104,0
2021-06-08,67316790680.16783,15440958175.278946,1
2021-06-09,72582508401.77777,5265717721.60994,1
2021-06-10,79255034405.46341,6672526003.685638,1
2021-06-11,65346487153.77778,-13908547251.68563,0
2021-06-12,63889684892.44444,-1456802261.3333359,0
2021-06-13,57312107534.22222,-6577577358.222221,0
2021-06-14,76608277489.77777,19296169955.55555,1
2021-06-15,72036187548.44444,-4572089941.333328,0
2021-06-16,64077215237.35191,-7958972311.092529,0
2021-06-17,69040871645.21254,4963656407.860626,1
2021-06-18,61575865500.44444,-7465006144.768097,0
2021-06-19,62826737678.22222,1250872177.7777786,1
2021-06-20,55193357752.888885,-7633379925.333336,0
2021-06-21,78609740781.77936,23416383028.890472,1
2021-06-22,97091051263.10802,18481310481.32866,1
2021-06-23,96666188116.1272,-424863146.9808197,0
2021-06-24,60517323379.73946,-36148864736.38773,0
2021-06-25,60748465087.552444,231141707.81298065,1
2021-06-26,68428884822.56115,7680419735.008705,1
2021-06-27,60510865624.33803,-7918019198.223122,0
2021-06-28,56438771250.47888,-4072094373.859146,0
2021-06-29,58783976277.333336,2345205026.854454,1
2021-06-30,57470426222.60627,-1313550054.727066,0
2021-07-01,55957183184.72474,-1513243037.8815308,0
2021-07-02,53898509084.44444,-2058674100.2802963,0
2021-07-03,40253461668.6993,-13645047415.74514,0
2021-07-04,38805155754.66666,-1448305914.0326462,0
2021-07-05,50617003704.888885,11811847950.222229,1
2021-07-06,61017993116.44444,10400989411.555557,1
2021-07-07,57955368704.0,-3062624412.4444427,0
2021-07-08,66246736881.77778,8291368177.777779,1
2021-07-09,76918683136.0,10671946254.222221,1
2021-07-10,66022713756.44444,-10895969379.555557,0
2021-07-11,55801800860.98955,-10220912895.454895,0
2021-07-12,59765045361.77778,3963244500.788231,1
2021-07-13,54416065045.333336,-5348980316.444443,0
2021-07-14,47348114517.333336,-7067950528.0,0
2021-07-15,55759464576.0,8411350058.666664,1
2021-07-16,54022773717.333336,-1736690858.6666641,0
2021-07-17,39981969159.11112,-14040804558.222214,0
2021-07-18,35431331811.55556,-4550637347.555565,0
2021-07-19,36608378154.66666,1177046343.1110992,1
2021-07-20,47087937607.11112,10479559452.444466,1
2021-07-21,50268395206.020905,3180457598.9097824,1
2021-07-22,54591578894.22222,4323183688.201317,1
2021-07-23,43696585344.0,-10894993550.222221,0
2021-07-24,48296097848.888885,4599512504.8888855,1
2021-07-25,40433578091.03833,-7862519757.850555,0
2021-07-26,84057801560.30663,43624223469.268295,1
2021-07-27,88056814919.11111,3999013358.804489,1
2021-07-28,86298185116.44444,-1758629802.6666718,0
2021-07-29,71065073251.55556,-15233111864.888885,0
2021-07-30,58156415288.888885,-12908657962.666672,0
2021-07-31,73216348003.55556,15059932714.666672,1
2021-08-01,58507194382.22222,-14709153621.333336,0
2021-08-02,66317530652.44444,7810336270.222221,1
2021-08-03,58660971022.22222,-7656559630.222221,0
2021-08-04,55749176732.44444,-2911794289.7777786,0
2021-08-05,59042920661.333336,3293743928.888893,1
2021-08-06,70411983530.66667,11369062869.333336,1
2021-08-07,74440143148.75525,4028159618.0885773,1
2021-08-08,75737447466.66667,1297304317.9114227,1
2021-08-09,74184672056.88889,-1552775409.7777863,0
2021-08-10,72283654172.44444,-1901017884.4444427,0
2021-08-11,65924957909.333336,-6358696263.111107,0
2021-08-12,80625549752.88889,14700591843.55555,1
2021-08-13,66684585358.22222,-13940964394.666664,0
2021-08-14,63747047793.77778,-2937537564.4444427,0
2021-08-15,60388411064.888885,-3358636728.888893,0
2021-08-16,66521713774.60627,6133302709.717384,1
2021-08-17,76216552899.13287,9694839124.526604,1
2021-08-18,74813786339.55556,-1402766559.5773163,0
2021-08-19,57015323932.44444,-17798462407.111115,0
2021-08-20,64823787278.22222,7808463345.777779,1
2021-08-21,66932790903.52613,2109003625.3039093,1
2021-08-22,54305803374.60627,-12626987528.91986,0
2021-08-23,63427233891.55556,9121430516.949287,1
2021-08-24,65083046847.552444,1655812955.9968872,1
2021-08-25,60151994652.44444,-4931052195.108002,0
2021-08-26,63803503262.77352,3651508610.3290787,1
2021-08-27,57376285724.44444,-6427217538.329079,0
2021-08-28,53492946569.01408,-3883339155.4303665,0
2021-08-29,48229478485.63066,-5263468083.383415,0
2021-08-30,48179454137.533104,-50024348.09755707,0
2021-08-31,56943712625.77778,8764258488.244675,1
2021-09-01,60738599082.66666,3794886456.888878,1
2021-09-02,68777141351.47038,8038542268.803726,1
2021-09-03,75273290555.76306,6496149204.292679,1
2021-09-04,66721901411.55556,-8551389144.207504,0
2021-09-05,53857252209.77778,-12864649201.777779,0
2021-09-06,59320284405.1831,5463032195.405319,1
2021-09-07,82249292259.55556,22929007854.37246,1
2021-09-08,106991221447.11111,24741929187.555557,1
2021-09-09,67899230933.333336,-39091990513.77778,0
2021-09-10,55572355650.006966,-12326875283.32637,0
2021-09-11,55353657422.49477,-218698227.5121994,0
